% nSim ->    2688
%      nExp        nIn        hLS      trFcn         lr        trC
        564         28         24   trainscg       0.01    1000000
        565         28         24   trainscg       0.05    1000000
        566         28         24   trainscg       0.05    2000000
        567         28         24   trainscg       0.05    5000000
        568         28         24   trainscg       0.05    1000000
        569         28         24   trainscg       0.10    1000000
        570         28         24   trainscg       0.10    2000000
        571         28         24   trainscg       0.10    5000000
        572         28         24   trainscg       0.10    1000000
        573         28         24   trainscg       0.20    1000000
        574         28         24   trainscg       0.20    2000000
        575         28         24   trainscg       0.20    5000000
        576         28         24   trainscg       0.20    1000000
        577         28         36    trainlm       0.01    1000000
        578         28         36    trainlm       0.01    2000000
        579         28         36    trainlm       0.01    5000000
        580         28         36    trainlm       0.01    1000000
        581         28         36    trainlm       0.05    1000000
        582         28         36    trainlm       0.05    2000000
        583         28         36    trainlm       0.05    5000000
        584         28         36    trainlm       0.05    1000000
        585         28         36    trainlm       0.10    1000000
        586         28         36    trainlm       0.10    2000000
        587         28         36    trainlm       0.10    5000000
        588         28         36    trainlm       0.10    1000000
        589         28         36    trainlm       0.20    1000000
        590         28         36    trainlm       0.20    2000000
        591         28         36    trainlm       0.20    5000000
        592         28         36    trainlm       0.20    1000000
        593         28         36    trainrp       0.01    1000000
        594         28         36    trainrp       0.01    2000000
        595         28         36    trainrp       0.01    5000000
        596         28         36    trainrp       0.01    1000000
        597         28         36    trainrp       0.05    1000000
        598         28         36    trainrp       0.05    2000000
        599         28         36    trainrp       0.05    5000000
        600         28         36    trainrp       0.05    1000000
        601         28         36    trainrp       0.10    1000000
        602         28         36    trainrp       0.10    2000000
        603         28         36    trainrp       0.10    5000000
        604         28         36    trainrp       0.10    1000000
        605         28         36    trainrp       0.20    1000000
        606         28         36    trainrp       0.20    2000000
        607         28         36    trainrp       0.20    5000000
        608         28         36    trainrp       0.20    1000000
        609         28         36   trainscg       0.01    1000000
        610         28         36   trainscg       0.01    2000000
        611         28         36   trainscg       0.01    5000000
        612         28         36   trainscg       0.01    1000000
        613         28         36   trainscg       0.05    1000000
        614         28         36   trainscg       0.05    2000000
        615         28         36   trainscg       0.05    5000000
        616         28         36   trainscg       0.05    1000000
        617         28         36   trainscg       0.10    1000000
        618         28         36   trainscg       0.10    2000000
        619         28         36   trainscg       0.10    5000000
        620         28         36   trainscg       0.10    1000000
        621         28         36   trainscg       0.20    1000000
        622         28         36   trainscg       0.20    2000000
        623         28         36   trainscg       0.20    5000000
        624         28         36   trainscg       0.20    1000000
        625         28         48    trainlm       0.01    1000000
        626         28         48    trainlm       0.01    2000000
        627         28         48    trainlm       0.01    5000000
        628         28         48    trainlm       0.01    1000000
        629         28         48    trainlm       0.05    1000000
        630         28         48    trainlm       0.05    2000000
        631         28         48    trainlm       0.05    5000000
        632         28         48    trainlm       0.05    1000000
        633         28         48    trainlm       0.10    1000000
        634         28         48    trainlm       0.10    2000000
        635         28         48    trainlm       0.10    5000000
        636         28         48    trainlm       0.10    1000000
        637         28         48    trainlm       0.20    1000000
        638         28         48    trainlm       0.20    2000000
        639         28         48    trainlm       0.20    5000000
        640         28         48    trainlm       0.20    1000000
        641         28         48    trainrp       0.01    1000000
        642         28         48    trainrp       0.01    2000000
        643         28         48    trainrp       0.01    5000000
        644         28         48    trainrp       0.01    1000000
        645         28         48    trainrp       0.05    1000000
        646         28         48    trainrp       0.05    2000000
        647         28         48    trainrp       0.05    5000000
        648         28         48    trainrp       0.05    1000000
        649         28         48    trainrp       0.10    1000000
        650         28         48    trainrp       0.10    2000000
        651         28         48    trainrp       0.10    5000000
        652         28         48    trainrp       0.10    1000000
        653         28         48    trainrp       0.20    1000000
