% nSim ->    2800
  nExp  nIn  hLS      trFcn    lr    trC
   393   5   10   trainscg  0.05  10000
   394   5   10   trainscg  0.05  20000
   395   5   10   trainscg  0.05  50000
   396   5   10   trainscg  0.01   1000
   397   5   10   trainscg  0.01   5000
   398   5   10   trainscg  0.01  10000
   399   5   10   trainscg  0.01  20000
   400   5   10   trainscg  0.01  50000
   401   5   10   traingdm  0.20   1000
   402   5   10   traingdm  0.20   5000
   403   5   10   traingdm  0.20  10000
   404   5   10   traingdm  0.20  20000
   405   5   10   traingdm  0.20  50000
   406   5   10   traingdm  0.10   1000
   407   5   10   traingdm  0.10   5000
   408   5   10   traingdm  0.10  10000
   409   5   10   traingdm  0.10  20000
   410   5   10   traingdm  0.10  50000
   411   5   10   traingdm  0.05   1000
   412   5   10   traingdm  0.05   5000
   413   5   10   traingdm  0.05  10000
   414   5   10   traingdm  0.05  20000
   415   5   10   traingdm  0.05  50000
   416   5   10   traingdm  0.01   1000
   417   5   10   traingdm  0.01   5000
   418   5   10   traingdm  0.01  10000
   419   5   10   traingdm  0.01  20000
   420   5   10   traingdm  0.01  50000
   421  10    5    trainlm  0.20   1000
   422  10    5    trainlm  0.20   5000
   423  10    5    trainlm  0.20  10000
   424  10    5    trainlm  0.20  20000
   425  10    5    trainlm  0.20  50000
   426  10    5    trainlm  0.10   1000
   427  10    5    trainlm  0.10   5000
   428  10    5    trainlm  0.10  10000
   429  10    5    trainlm  0.10  20000
   430  10    5    trainlm  0.10  50000
   431  10    5    trainlm  0.05   1000
   432  10    5    trainlm  0.05   5000
   433  10    5    trainlm  0.05  10000
   434  10    5    trainlm  0.05  20000
   435  10    5    trainlm  0.05  50000
   436  10    5    trainlm  0.01   1000
   437  10    5    trainlm  0.01   5000
   438  10    5    trainlm  0.01  10000
   439  10    5    trainlm  0.01  20000
   440  10    5    trainlm  0.01  50000
   441  10    5    traingd  0.20   1000
   442  10    5    traingd  0.20   5000
   443  10    5    traingd  0.20  10000
   444  10    5    traingd  0.20  20000
   445  10    5    traingd  0.20  50000
   446  10    5    traingd  0.10   1000
   447  10    5    traingd  0.10   5000
   448  10    5    traingd  0.10  10000
   449  10    5    traingd  0.10  20000
   450  10    5    traingd  0.10  50000
   451  10    5    traingd  0.05   1000
   452  10    5    traingd  0.05   5000
   453  10    5    traingd  0.05  10000
   454  10    5    traingd  0.05  20000
   455  10    5    traingd  0.05  50000
   456  10    5    traingd  0.01   1000
   457  10    5    traingd  0.01   5000
   458  10    5    traingd  0.01  10000
   459  10    5    traingd  0.01  20000
   460  10    5    traingd  0.01  50000
   461  10    5   traingda  0.20   1000
   462  10    5   traingda  0.20   5000
   463  10    5   traingda  0.20  10000
   464  10    5   traingda  0.20  20000
   465  10    5   traingda  0.20  50000
   466  10    5   traingda  0.10   1000
   467  10    5   traingda  0.10   5000
   468  10    5   traingda  0.10  10000
   469  10    5   traingda  0.10  20000
   470  10    5   traingda  0.10  50000
   471  10    5   traingda  0.05   1000
   472  10    5   traingda  0.05   5000
   473  10    5   traingda  0.05  10000
   474  10    5   traingda  0.05  20000
   475  10    5   traingda  0.05  50000
   476  10    5   traingda  0.01   1000
   477  10    5   traingda  0.01   5000
   478  10    5   traingda  0.01  10000
   479  10    5   traingda  0.01  20000
   480  10    5   traingda  0.01  50000
   481  10    5   traingdx  0.20   1000
   482  10    5   traingdx  0.20   5000
   483  10    5   traingdx  0.20  10000
   484  10    5   traingdx  0.20  20000
   485  10    5   traingdx  0.20  50000
   486  10    5   traingdx  0.10   1000
   487  10    5   traingdx  0.10   5000
   488  10    5   traingdx  0.10  10000
   489  10    5   traingdx  0.10  20000
   490  10    5   traingdx  0.10  50000
   491  10    5   traingdx  0.05   1000
   492  10    5   traingdx  0.05   5000
   493  10    5   traingdx  0.05  10000
   494  10    5   traingdx  0.05  20000
   495  10    5   traingdx  0.05  50000
   496  10    5   traingdx  0.01   1000
   497  10    5   traingdx  0.01   5000
   498  10    5   traingdx  0.01  10000
   499  10    5   traingdx  0.01  20000
   500  10    5   traingdx  0.01  50000
   501  10    5    trainrp  0.20   1000
   502  10    5    trainrp  0.20   5000
   503  10    5    trainrp  0.20  10000
   504  10    5    trainrp  0.20  20000
   505  10    5    trainrp  0.20  50000
   506  10    5    trainrp  0.10   1000
   507  10    5    trainrp  0.10   5000
   508  10    5    trainrp  0.10  10000
   509  10    5    trainrp  0.10  20000
