% nSim ->    2688
%      nExp        nIn        hLS      trFcn         lr        trC
       664         28         48          3       0.10       1000
       665         28         48          3       0.05       1000
       666         28         48          3       0.05       2000
       667         28         48          3       0.05       5000
       668         28         48          3       0.05       1000
       669         28         48          3       0.01       1000
       670         28         48          3       0.01       2000
       671         28         48          3       0.01       5000
       672         28         48          3       0.01       1000
       673         28         50          1       0.20       1000
       674         28         50          1       0.20       2000
       675         28         50          1       0.20       5000
       676         28         50          1       0.20       1000
       677         28         50          1       0.10       1000
       678         28         50          1       0.10       2000
       679         28         50          1       0.10       5000
       680         28         50          1       0.10       1000
       681         28         50          1       0.05       1000
       682         28         50          1       0.05       2000
       683         28         50          1       0.05       5000
       684         28         50          1       0.05       1000
       685         28         50          1       0.01       1000
       686         28         50          1       0.01       2000
       687         28         50          1       0.01       5000
       688         28         50          1       0.01       1000
       689         28         50          2       0.20       1000
       690         28         50          2       0.20       2000
       691         28         50          2       0.20       5000
       692         28         50          2       0.20       1000
       693         28         50          2       0.10       1000
       694         28         50          2       0.10       2000
       695         28         50          2       0.10       5000
       696         28         50          2       0.10       1000
       697         28         50          2       0.05       1000
       698         28         50          2       0.05       2000
       699         28         50          2       0.05       5000
       700         28         50          2       0.05       1000
       701         28         50          2       0.01       1000
       702         28         50          2       0.01       2000
       703         28         50          2       0.01       5000
       704         28         50          2       0.01       1000
       705         28         50          3       0.20       1000
       706         28         50          3       0.20       2000
       707         28         50          3       0.20       5000
       708         28         50          3       0.20       1000
       709         28         50          3       0.10       1000
       710         28         50          3       0.10       2000
       711         28         50          3       0.10       5000
       712         28         50          3       0.10       1000
       713         28         50          3       0.05       1000
       714         28         50          3       0.05       2000
       715         28         50          3       0.05       5000
       716         28         50          3       0.05       1000
       717         28         50          3       0.01       1000
       718         28         50          3       0.01       2000
       719         28         50          3       0.01       5000
       720         28         50          3       0.01       1000
       721         28         62          1       0.20       1000
       722         28         62          1       0.20       2000
       723         28         62          1       0.20       5000
       724         28         62          1       0.20       1000
       725         28         62          1       0.10       1000
       726         28         62          1       0.10       2000
       727         28         62          1       0.10       5000
       728         28         62          1       0.10       1000
       729         28         62          1       0.05       1000
       730         28         62          1       0.05       2000
       731         28         62          1       0.05       5000
       732         28         62          1       0.05       1000
       733         28         62          1       0.01       1000
       734         28         62          1       0.01       2000
       735         28         62          1       0.01       5000
       736         28         62          1       0.01       1000
       737         28         62          2       0.20       1000
       738         28         62          2       0.20       2000
       739         28         62          2       0.20       5000
       740         28         62          2       0.20       1000
       741         28         62          2       0.10       1000
       742         28         62          2       0.10       2000
       743         28         62          2       0.10       5000
       744         28         62          2       0.10       1000
       745         28         62          2       0.05       1000
       746         28         62          2       0.05       2000
       747         28         62          2       0.05       5000
       748         28         62          2       0.05       1000
       749         28         62          2       0.01       1000
       750         28         62          2       0.01       2000
       751         28         62          2       0.01       5000
       752         28         62          2       0.01       1000
       753         28         62          3       0.20       1000
       754         28         62          3       0.20       2000
       755         28         62          3       0.20       5000
       756         28         62          3       0.20       1000
       757         28         62          3       0.10       1000
       758         28         62          3       0.10       2000
       759         28         62          3       0.10       5000
       760         28         62          3       0.10       1000
       761         28         62          3       0.05       1000
       762         28         62          3       0.05       2000
       763         28         62          3       0.05       5000
       764         28         62          3       0.05       1000
       765         28         62          3       0.01       1000
       766         28         62          3       0.01       2000
       767         28         62          3       0.01       5000
       768         28         62          3       0.01       1000
       769         40         12          1       0.20       1000
       770         40         12          1       0.20       2000
       771         40         12          1       0.20       5000
       772         40         12          1       0.20       1000
       773         40         12          1       0.10       1000
       774         40         12          1       0.10       2000
       775         40         12          1       0.10       5000
       776         40         12          1       0.10       1000
       777         40         12          1       0.05       1000
       778         40         12          1       0.05       2000
       779         40         12          1       0.05       5000
       780         40         12          1       0.05       1000
       781         40         12          1       0.01       1000
       782         40         12          1       0.01       2000
       783         40         12          1       0.01       5000
       784         40         12          1       0.01       1000
       785         40         12          2       0.20       1000
       786         40         12          2       0.20       2000
       787         40         12          2       0.20       5000
       788         40         12          2       0.20       1000
       789         40         12          2       0.10       1000
       790         40         12          2       0.10       2000
       791         40         12          2       0.10       5000
       792         40         12          2       0.10       1000
       793         40         12          2       0.05       1000
       794         40         12          2       0.05       2000
       795         40         12          2       0.05       5000
       796         40         12          2       0.05       1000
       797         40         12          2       0.01       1000
       798         40         12          2       0.01       2000
       799         40         12          2       0.01       5000
       800         40         12          2       0.01       1000
       801         40         12          3       0.20       1000
       802         40         12          3       0.20       2000
       803         40         12          3       0.20       5000
       804         40         12          3       0.20       1000
       805         40         12          3       0.10       1000
       806         40         12          3       0.10       2000
       807         40         12          3       0.10       5000
       808         40         12          3       0.10       1000
       809         40         12          3       0.05       1000
       810         40         12          3       0.05       2000
       811         40         12          3       0.05       5000
       812         40         12          3       0.05       1000
       813         40         12          3       0.01       1000
       814         40         12          3       0.01       2000
       815         40         12          3       0.01       5000
       816         40         12          3       0.01       1000
       817         40         18          1       0.20       1000
       818         40         18          1       0.20       2000
       819         40         18          1       0.20       5000
       820         40         18          1       0.20       1000
       821         40         18          1       0.10       1000
       822         40         18          1       0.10       2000
       823         40         18          1       0.10       5000
       824         40         18          1       0.10       1000
       825         40         18          1       0.05       1000
       826         40         18          1       0.05       2000
       827         40         18          1       0.05       5000
       828         40         18          1       0.05       1000
       829         40         18          1       0.01       1000
       830         40         18          1       0.01       2000
       831         40         18          1       0.01       5000
       832         40         18          1       0.01       1000
       833         40         18          2       0.20       1000
       834         40         18          2       0.20       2000
       835         40         18          2       0.20       5000
       836         40         18          2       0.20       1000
       837         40         18          2       0.10       1000
       838         40         18          2       0.10       2000
       839         40         18          2       0.10       5000
       840         40         18          2       0.10       1000
       841         40         18          2       0.05       1000
       842         40         18          2       0.05       2000
       843         40         18          2       0.05       5000
       844         40         18          2       0.05       1000
       845         40         18          2       0.01       1000
       846         40         18          2       0.01       2000
       847         40         18          2       0.01       5000
       848         40         18          2       0.01       1000
       849         40         18          3       0.20       1000
       850         40         18          3       0.20       2000
       851         40         18          3       0.20       5000
       852         40         18          3       0.20       1000
       853         40         18          3       0.10       1000
       854         40         18          3       0.10       2000
       855         40         18          3       0.10       5000
       856         40         18          3       0.10       1000
       857         40         18          3       0.05       1000
       858         40         18          3       0.05       2000
       859         40         18          3       0.05       5000
       860         40         18          3       0.05       1000
       861         40         18          3       0.01       1000
       862         40         18          3       0.01       2000
       863         40         18          3       0.01       5000
       864         40         18          3       0.01       1000
       865         40         24          1       0.20       1000
       866         40         24          1       0.20       2000
