% nSim ->    1944
%      nExp        nIn        hLS      trFcn         lr        trC
       344         14         24          6       0.20       2000
       345         14         24          6       0.20       5000
       346         14         24          6       0.10       1000
       347         14         24          6       0.10       2000
       348         14         24          6       0.10       5000
       349         14         24          6       0.05       1000
       350         14         24          6       0.05       2000
       351         14         24          6       0.05       5000
       352         14         30          1       0.20       1000
       353         14         30          1       0.20       2000
       354         14         30          1       0.20       5000
       355         14         30          1       0.10       1000
       356         14         30          1       0.10       2000
       357         14         30          1       0.10       5000
       358         14         30          1       0.05       1000
       359         14         30          1       0.05       2000
       360         14         30          1       0.05       5000
       361         14         30          5       0.20       1000
       362         14         30          5       0.20       2000
       363         14         30          5       0.20       5000
       364         14         30          5       0.10       1000
       365         14         30          5       0.10       2000
       366         14         30          5       0.10       5000
       367         14         30          5       0.05       1000
       368         14         30          5       0.05       2000
       369         14         30          5       0.05       5000
       370         14         30          6       0.20       1000
       371         14         30          6       0.20       2000
       372         14         30          6       0.20       5000
       373         14         30          6       0.10       1000
       374         14         30          6       0.10       2000
       375         14         30          6       0.10       5000
       376         14         30          6       0.05       1000
       377         14         30          6       0.05       2000
       378         14         30          6       0.05       5000
       379         14         36          1       0.20       1000
       380         14         36          1       0.20       2000
       381         14         36          1       0.20       5000
       382         14         36          1       0.10       1000
       383         14         36          1       0.10       2000
       384         14         36          1       0.10       5000
       385         14         36          1       0.05       1000
       386         14         36          1       0.05       2000
       387         14         36          1       0.05       5000
       388         14         36          5       0.20       1000
       389         14         36          5       0.20       2000
       390         14         36          5       0.20       5000
       391         14         36          5       0.10       1000
       392         14         36          5       0.10       2000
       393         14         36          5       0.10       5000
       394         14         36          5       0.05       1000
       395         14         36          5       0.05       2000
       396         14         36          5       0.05       5000
       397         14         36          6       0.20       1000
       398         14         36          6       0.20       2000
       399         14         36          6       0.20       5000
       400         14         36          6       0.10       1000
       401         14         36          6       0.10       2000
       402         14         36          6       0.10       5000
       403         14         36          6       0.05       1000
       404         14         36          6       0.05       2000
       405         14         36          6       0.05       5000
       406         14         42          1       0.20       1000
       407         14         42          1       0.20       2000
       408         14         42          1       0.20       5000
       409         14         42          1       0.10       1000
       410         14         42          1       0.10       2000
       411         14         42          1       0.10       5000
       412         14         42          1       0.05       1000
       413         14         42          1       0.05       2000
       414         14         42          1       0.05       5000
       415         14         42          5       0.20       1000
       416         14         42          5       0.20       2000
       417         14         42          5       0.20       5000
       418         14         42          5       0.10       1000
       419         14         42          5       0.10       2000
       420         14         42          5       0.10       5000
       421         14         42          5       0.05       1000
       422         14         42          5       0.05       2000
       423         14         42          5       0.05       5000
       424         14         42          6       0.20       1000
       425         14         42          6       0.20       2000
       426         14         42          6       0.20       5000
       427         14         42          6       0.10       1000
       428         14         42          6       0.10       2000
       429         14         42          6       0.10       5000
       430         14         42          6       0.05       1000
       431         14         42          6       0.05       2000
       432         14         42          6       0.05       5000
       433         28          9          1       0.20       1000
       434         28          9          1       0.20       2000
       435         28          9          1       0.20       5000
       436         28          9          1       0.10       1000
       437         28          9          1       0.10       2000
       438         28          9          1       0.10       5000
       439         28          9          1       0.05       1000
       440         28          9          1       0.05       2000
       441         28          9          1       0.05       5000
       442         28          9          5       0.20       1000
       443         28          9          5       0.20       2000
       444         28          9          5       0.20       5000
       445         28          9          5       0.10       1000
       446         28          9          5       0.10       2000
       447         28          9          5       0.10       5000
       448         28          9          5       0.05       1000
       449         28          9          5       0.05       2000
       450         28          9          5       0.05       5000
       451         28          9          6       0.20       1000
       452         28          9          6       0.20       2000
       453         28          9          6       0.20       5000
       454         28          9          6       0.10       1000
       455         28          9          6       0.10       2000
       456         28          9          6       0.10       5000
       457         28          9          6       0.05       1000
       458         28          9          6       0.05       2000
       459         28          9          6       0.05       5000
       460         28         12          1       0.20       1000
       461         28         12          1       0.20       2000
       462         28         12          1       0.20       5000
       463         28         12          1       0.10       1000
       464         28         12          1       0.10       2000
       465         28         12          1       0.10       5000
       466         28         12          1       0.05       1000
       467         28         12          1       0.05       2000
       468         28         12          1       0.05       5000
       469         28         12          5       0.20       1000
       470         28         12          5       0.20       2000
       471         28         12          5       0.20       5000
       472         28         12          5       0.10       1000
       473         28         12          5       0.10       2000
       474         28         12          5       0.10       5000
       475         28         12          5       0.05       1000
       476         28         12          5       0.05       2000
       477         28         12          5       0.05       5000
       478         28         12          6       0.20       1000
       479         28         12          6       0.20       2000
       480         28         12          6       0.20       5000
       481         28         12          6       0.10       1000
       482         28         12          6       0.10       2000
       483         28         12          6       0.10       5000
       484         28         12          6       0.05       1000
       485         28         12          6       0.05       2000
       486         28         12          6       0.05       5000
       487         28         18          1       0.20       1000
       488         28         18          1       0.20       2000
       489         28         18          1       0.20       5000
       490         28         18          1       0.10       1000
       491         28         18          1       0.10       2000
       492         28         18          1       0.10       5000
       493         28         18          1       0.05       1000
       494         28         18          1       0.05       2000
       495         28         18          1       0.05       5000
       496         28         18          5       0.20       1000
       497         28         18          5       0.20       2000
       498         28         18          5       0.20       5000
       499         28         18          5       0.10       1000
       500         28         18          5       0.10       2000
       501         28         18          5       0.10       5000
       502         28         18          5       0.05       1000
       503         28         18          5       0.05       2000
       504         28         18          5       0.05       5000
       505         28         18          6       0.20       1000
       506         28         18          6       0.20       2000
       507         28         18          6       0.20       5000
       508         28         18          6       0.10       1000
       509         28         18          6       0.10       2000
       510         28         18          6       0.10       5000
       511         28         18          6       0.05       1000
       512         28         18          6       0.05       2000
       513         28         18          6       0.05       5000
       514         28         24          1       0.20       1000
       515         28         24          1       0.20       2000
       516         28         24          1       0.20       5000
       517         28         24          1       0.10       1000
       518         28         24          1       0.10       2000
       519         28         24          1       0.10       5000
       520         28         24          1       0.05       1000
       521         28         24          1       0.05       2000
       522         28         24          1       0.05       5000
       523         28         24          5       0.20       1000
       524         28         24          5       0.20       2000
       525         28         24          5       0.20       5000
       526         28         24          5       0.10       1000
       527         28         24          5       0.10       2000
       528         28         24          5       0.10       5000
       529         28         24          5       0.05       1000
       530         28         24          5       0.05       2000
       531         28         24          5       0.05       5000
       532         28         24          6       0.20       1000
       533         28         24          6       0.20       2000
       534         28         24          6       0.20       5000
       535         28         24          6       0.10       1000
       536         28         24          6       0.10       2000
       537         28         24          6       0.10       5000
       538         28         24          6       0.05       1000
       539         28         24          6       0.05       2000
       540         28         24          6       0.05       5000
       541         28         30          1       0.20       1000
       542         28         30          1       0.20       2000
       543         28         30          1       0.20       5000
       544         28         30          1       0.10       1000
       545         28         30          1       0.10       2000
       546         28         30          1       0.10       5000
       547         28         30          1       0.05       1000
       548         28         30          1       0.05       2000
       549         28         30          1       0.05       5000
       550         28         30          5       0.20       1000
       551         28         30          5       0.20       2000
       552         28         30          5       0.20       5000
       553         28         30          5       0.10       1000
       554         28         30          5       0.10       2000
       555         28         30          5       0.10       5000
       556         28         30          5       0.05       1000
       557         28         30          5       0.05       2000
       558         28         30          5       0.05       5000
       559         28         30          6       0.20       1000
       560         28         30          6       0.20       2000
       561         28         30          6       0.20       5000
       562         28         30          6       0.10       1000
       563         28         30          6       0.10       2000
       564         28         30          6       0.10       5000
       565         28         30          6       0.05       1000
       566         28         30          6       0.05       2000
       567         28         30          6       0.05       5000
       568         28         36          1       0.20       1000
       569         28         36          1       0.20       2000
       570         28         36          1       0.20       5000
       571         28         36          1       0.10       1000
       572         28         36          1       0.10       2000
       573         28         36          1       0.10       5000
       574         28         36          1       0.05       1000
       575         28         36          1       0.05       2000
       576         28         36          1       0.05       5000
       577         28         36          5       0.20       1000
       578         28         36          5       0.20       2000
       579         28         36          5       0.20       5000
       580         28         36          5       0.10       1000
       581         28         36          5       0.10       2000
       582         28         36          5       0.10       5000
       583         28         36          5       0.05       1000
       584         28         36          5       0.05       2000
       585         28         36          5       0.05       5000
       586         28         36          6       0.20       1000
       587         28         36          6       0.20       2000
       588         28         36          6       0.20       5000
       589         28         36          6       0.10       1000
       590         28         36          6       0.10       2000
       591         28         36          6       0.10       5000
       592         28         36          6       0.05       1000
       593         28         36          6       0.05       2000
       594         28         36          6       0.05       5000
       595         28         42          1       0.20       1000
       596         28         42          1       0.20       2000
       597         28         42          1       0.20       5000
       598         28         42          1       0.10       1000
       599         28         42          1       0.10       2000
       600         28         42          1       0.10       5000
       601         28         42          1       0.05       1000
       602         28         42          1       0.05       2000
       603         28         42          1       0.05       5000
       604         28         42          5       0.20       1000
       605         28         42          5       0.20       2000
       606         28         42          5       0.20       5000
       607         28         42          5       0.10       1000
       608         28         42          5       0.10       2000
       609         28         42          5       0.10       5000
       610         28         42          5       0.05       1000
       611         28         42          5       0.05       2000
       612         28         42          5       0.05       5000
       613         28         42          6       0.20       1000
       614         28         42          6       0.20       2000
       615         28         42          6       0.20       5000
       616         28         42          6       0.10       1000
       617         28         42          6       0.10       2000
       618         28         42          6       0.10       5000
       619         28         42          6       0.05       1000
       620         28         42          6       0.05       2000
       621         28         42          6       0.05       5000
       622         28         48          1       0.20       1000
       623         28         48          1       0.20       2000
       624         28         48          1       0.20       5000
       625         28         48          1       0.10       1000
       626         28         48          1       0.10       2000
       627         28         48          1       0.10       5000
       628         28         48          1       0.05       1000
       629         28         48          1       0.05       2000
       630         28         48          1       0.05       5000
       631         28         48          5       0.20       1000
       632         28         48          5       0.20       2000
       633         28         48          5       0.20       5000
       634         28         48          5       0.10       1000
       635         28         48          5       0.10       2000
       636         28         48          5       0.10       5000
       637         28         48          5       0.05       1000
       638         28         48          5       0.05       2000
       639         28         48          5       0.05       5000
       640         28         48          6       0.20       1000
       641         28         48          6       0.20       2000
       642         28         48          6       0.20       5000
       643         28         48          6       0.10       1000
       644         28         48          6       0.10       2000
       645         28         48          6       0.10       5000
       646         28         48          6       0.05       1000
       647         28         48          6       0.05       2000
       648         28         48          6       0.05       5000
       649         40         12          1       0.20       1000
       650         40         12          1       0.20       2000
       651         40         12          1       0.20       5000
       652         40         12          1       0.10       1000
       653         40         12          1       0.10       2000
       654         40         12          1       0.10       5000
       655         40         12          1       0.05       1000
       656         40         12          1       0.05       2000
       657         40         12          1       0.05       5000
       658         40         12          5       0.20       1000
       659         40         12          5       0.20       2000
       660         40         12          5       0.20       5000
       661         40         12          5       0.10       1000
       662         40         12          5       0.10       2000
       663         40         12          5       0.10       5000
       664         40         12          5       0.05       1000
       665         40         12          5       0.05       2000
       666         40         12          5       0.05       5000
       667         40         12          6       0.20       1000
       668         40         12          6       0.20       2000
       669         40         12          6       0.20       5000
       670         40         12          6       0.10       1000
       671         40         12          6       0.10       2000
       672         40         12          6       0.10       5000
       673         40         12          6       0.05       1000
       674         40         12          6       0.05       2000
       675         40         12          6       0.05       5000
       676         40         18          1       0.20       1000
       677         40         18          1       0.20       2000
       678         40         18          1       0.20       5000
       679         40         18          1       0.10       1000
       680         40         18          1       0.10       2000
       681         40         18          1       0.10       5000
       682         40         18          1       0.05       1000
       683         40         18          1       0.05       2000
       684         40         18          1       0.05       5000
       685         40         18          5       0.20       1000
       686         40         18          5       0.20       2000
       687         40         18          5       0.20       5000
       688         40         18          5       0.10       1000
       689         40         18          5       0.10       2000
       690         40         18          5       0.10       5000
       691         40         18          5       0.05       1000
       692         40         18          5       0.05       2000
       693         40         18          5       0.05       5000
       694         40         18          6       0.20       1000
       695         40         18          6       0.20       2000
       696         40         18          6       0.20       5000
       697         40         18          6       0.10       1000
       698         40         18          6       0.10       2000
       699         40         18          6       0.10       5000
       700         40         18          6       0.05       1000
       701         40         18          6       0.05       2000
       702         40         18          6       0.05       5000
       703         40         24          1       0.20       1000
       704         40         24          1       0.20       2000
       705         40         24          1       0.20       5000
       706         40         24          1       0.10       1000
       707         40         24          1       0.10       2000
       708         40         24          1       0.10       5000
       709         40         24          1       0.05       1000
       710         40         24          1       0.05       2000
       711         40         24          1       0.05       5000
       712         40         24          5       0.20       1000
       713         40         24          5       0.20       2000
       714         40         24          5       0.20       5000
       715         40         24          5       0.10       1000
       716         40         24          5       0.10       2000
       717         40         24          5       0.10       5000
       718         40         24          5       0.05       1000
       719         40         24          5       0.05       2000
       720         40         24          5       0.05       5000
       721         40         24          6       0.20       1000
       722         40         24          6       0.20       2000
       723         40         24          6       0.20       5000
       724         40         24          6       0.10       1000
       725         40         24          6       0.10       2000
       726         40         24          6       0.10       5000
       727         40         24          6       0.05       1000
       728         40         24          6       0.05       2000
       729         40         24          6       0.05       5000
       730         40         30          1       0.20       1000
       731         40         30          1       0.20       2000
       732         40         30          1       0.20       5000
       733         40         30          1       0.10       1000
       734         40         30          1       0.10       2000
       735         40         30          1       0.10       5000
       736         40         30          1       0.05       1000
       737         40         30          1       0.05       2000
       738         40         30          1       0.05       5000
       739         40         30          5       0.20       1000
       740         40         30          5       0.20       2000
       741         40         30          5       0.20       5000
       742         40         30          5       0.10       1000
       743         40         30          5       0.10       2000
       744         40         30          5       0.10       5000
       745         40         30          5       0.05       1000
       746         40         30          5       0.05       2000
       747         40         30          5       0.05       5000
       748         40         30          6       0.20       1000
       749         40         30          6       0.20       2000
       750         40         30          6       0.20       5000
       751         40         30          6       0.10       1000
       752         40         30          6       0.10       2000
       753         40         30          6       0.10       5000
       754         40         30          6       0.05       1000
       755         40         30          6       0.05       2000
       756         40         30          6       0.05       5000
       757         40         36          1       0.20       1000
       758         40         36          1       0.20       2000
       759         40         36          1       0.20       5000
       760         40         36          1       0.10       1000
       761         40         36          1       0.10       2000
       762         40         36          1       0.10       5000
       763         40         36          1       0.05       1000
       764         40         36          1       0.05       2000
       765         40         36          1       0.05       5000
       766         40         36          5       0.20       1000
       767         40         36          5       0.20       2000
       768         40         36          5       0.20       5000
       769         40         36          5       0.10       1000
       770         40         36          5       0.10       2000
       771         40         36          5       0.10       5000
       772         40         36          5       0.05       1000
       773         40         36          5       0.05       2000
       774         40         36          5       0.05       5000
       775         40         36          6       0.20       1000
       776         40         36          6       0.20       2000
       777         40         36          6       0.20       5000
       778         40         36          6       0.10       1000
       779         40         36          6       0.10       2000
       780         40         36          6       0.10       5000
       781         40         36          6       0.05       1000
       782         40         36          6       0.05       2000
       783         40         36          6       0.05       5000
       784         40         42          1       0.20       1000
       785         40         42          1       0.20       2000
       786         40         42          1       0.20       5000
       787         40         42          1       0.10       1000
       788         40         42          1       0.10       2000
       789         40         42          1       0.10       5000
       790         40         42          1       0.05       1000
       791         40         42          1       0.05       2000
       792         40         42          1       0.05       5000
       793         40         42          5       0.20       1000
       794         40         42          5       0.20       2000
       795         40         42          5       0.20       5000
       796         40         42          5       0.10       1000
       797         40         42          5       0.10       2000
       798         40         42          5       0.10       5000
       799         40         42          5       0.05       1000
       800         40         42          5       0.05       2000
       801         40         42          5       0.05       5000
       802         40         42          6       0.20       1000
       803         40         42          6       0.20       2000
       804         40         42          6       0.20       5000
       805         40         42          6       0.10       1000
       806         40         42          6       0.10       2000
       807         40         42          6       0.10       5000
       808         40         42          6       0.05       1000
       809         40         42          6       0.05       2000
       810         40         42          6       0.05       5000
       811         40         48          1       0.20       1000
       812         40         48          1       0.20       2000
       813         40         48          1       0.20       5000
       814         40         48          1       0.10       1000
       815         40         48          1       0.10       2000
       816         40         48          1       0.10       5000
       817         40         48          1       0.05       1000
       818         40         48          1       0.05       2000
       819         40         48          1       0.05       5000
       820         40         48          5       0.20       1000
       821         40         48          5       0.20       2000
       822         40         48          5       0.20       5000
       823         40         48          5       0.10       1000
       824         40         48          5       0.10       2000
       825         40         48          5       0.10       5000
       826         40         48          5       0.05       1000
       827         40         48          5       0.05       2000
       828         40         48          5       0.05       5000
       829         40         48          6       0.20       1000
       830         40         48          6       0.20       2000
       831         40         48          6       0.20       5000
       832         40         48          6       0.10       1000
       833         40         48          6       0.10       2000
       834         40         48          6       0.10       5000
       835         40         48          6       0.05       1000
       836         40         48          6       0.05       2000
       837         40         48          6       0.05       5000
       838         40         54          1       0.20       1000
       839         40         54          1       0.20       2000
       840         40         54          1       0.20       5000
       841         40         54          1       0.10       1000
       842         40         54          1       0.10       2000
       843         40         54          1       0.10       5000
       844         40         54          1       0.05       1000
       845         40         54          1       0.05       2000
       846         40         54          1       0.05       5000
       847         40         54          5       0.20       1000
       848         40         54          5       0.20       2000
       849         40         54          5       0.20       5000
       850         40         54          5       0.10       1000
       851         40         54          5       0.10       2000
       852         40         54          5       0.10       5000
       853         40         54          5       0.05       1000
       854         40         54          5       0.05       2000
       855         40         54          5       0.05       5000
