Pre-process PC 08  SC 47  yB 0 
	 value yy mm dd hh
	000000 14 12 15 16
	000000 14 12 15 17
	000000 14 12 15 18
	000000 14 12 15 19
	000000 14 12 15 20
	000000 14 12 15 21
	000000 14 12 15 22
	000000 14 12 15 23
	000000 14 12 15 24
	000000 14 12 22  1
	000000 14 12 22  2
	000000 14 12 22  3
	000000 14 12 22  4
	000000 14 12 22  5
	000000 14 12 22  6
	000000 14 12 22  7
	000000 14 12 22  8
	000000 14 12 22  9
	000000 14 12 22 10
	000000 14 12 22 11
	000000 14 12 22 12
	000000 14 12 22 13
	000000 14 12 22 14
	000000 14 12 22 15
	000000 14 12 22 16
	000000 14 12 22 17
	000001 14 12 22 18
	000048 14 12 22 19
	000242 14 12 22 20
	000163 14 12 22 21
	000132 14 12 22 22
	000126 14 12 22 23
	000110 14 12 22 24
	000087 14 12 23  1
	000077 14 12 23  2
	000069 14 12 23  3
	000067 14 12 23  4
	000063 14 12 23  5
	000064 14 12 23  6
	000072 14 12 23  7
	000000 14 12 23  8
	000000 14 12 23  9
	000000 14 12 23 10
	000000 14 12 23 11
	000000 14 12 23 12
	000000 14 12 23 13
	000064 14 12 23 14
	000412 15  1  9 20
	000061 15  1 15 13
	000032 15  1 22 15
	000213 15  1 23 10
	000058 15  2  3 11
	000068 15  3 18 10
	000033 15  3 25 12
	000000 15  3 29  3
	000080 15  3 30 10
	000082 15  4 14 11
	000075 15  4 28 10
	000100 15  5 12 10
	000045 15  5 26 11
	000068 15  6  9 11
	000000 15  6  9 13
	000031 15  6  9 14
	000000 15  6  9 15
	000038 15  6  9 16
	000057 15  6 10 13
	000000 15  6 10 14
	000000 15  6 10 15
	000000 15  6 10 16
	000028 15  6 23 11
	000063 15  7  7 11
	000043 15  7 10 12
	000049 15  7 22 11
	000049 15  8  3 10
	000000 15  8 21  2
	000095 15  8 21  3
	000064 15  9  1 11
	000047 15  9 28 15
	000032 15 10  2 16
	000163 15 10  2 17
	000039 15 10  2 18
	000067 15 10 14 15
	000062 15 10 27 10
	000045 15 11 23 15
	000055 15 12  9 15
	000078 15 12 18 11
	000000 15 12 18 12
