% nSim ->     816
%      nExp        nIn        hLS      trFcn         lr        trC
       580         25         10          1       0.01       5000
       581         25         10          2       0.20       5000
       582         25         10          2       0.10       5000
       583         25         10          2       0.05       5000
       584         25         10          2       0.01       5000
       585         25         12          1       0.20       5000
       586         25         12          1       0.10       5000
       587         25         12          1       0.05       5000
       588         25         12          1       0.01       5000
       589         25         12          2       0.20       5000
       590         25         12          2       0.10       5000
       591         25         12          2       0.05       5000
       592         25         12          2       0.01       5000
       593         25         15          1       0.20       5000
       594         25         15          1       0.10       5000
       595         25         15          1       0.05       5000
       596         25         15          1       0.01       5000
       597         25         15          2       0.20       5000
       598         25         15          2       0.10       5000
       599         25         15          2       0.05       5000
       600         25         15          2       0.01       5000
       601         25         18          1       0.20       5000
       602         25         18          1       0.10       5000
       603         25         18          1       0.05       5000
       604         25         18          1       0.01       5000
       605         25         18          2       0.20       5000
       606         25         18          2       0.10       5000
       607         25         18          2       0.05       5000
       608         25         18          2       0.01       5000
       609         25         20          1       0.20       5000
       610         25         20          1       0.10       5000
       611         25         20          1       0.05       5000
       612         25         20          1       0.01       5000
       613         25         20          2       0.20       5000
       614         25         20          2       0.10       5000
       615         25         20          2       0.05       5000
       616         25         20          2       0.01       5000
       617         25         25          1       0.20       5000
       618         25         25          1       0.10       5000
       619         25         25          1       0.05       5000
       620         25         25          1       0.01       5000
       621         25         25          2       0.20       5000
       622         25         25          2       0.10       5000
       623         25         25          2       0.05       5000
       624         25         25          2       0.01       5000
       625         25         30          1       0.20       5000
       626         25         30          1       0.10       5000
       627         25         30          1       0.05       5000
       628         25         30          1       0.01       5000
       629         25         30          2       0.20       5000
       630         25         30          2       0.10       5000
       631         25         30          2       0.05       5000
       632         25         30          2       0.01       5000
       633         25         35          1       0.20       5000
       634         25         35          1       0.10       5000
       635         25         35          1       0.05       5000
       636         25         35          1       0.01       5000
       637         25         35          2       0.20       5000
       638         25         35          2       0.10       5000
       639         25         35          2       0.05       5000
       640         25         35          2       0.01       5000
       641         25         40          1       0.20       5000
       642         25         40          1       0.10       5000
       643         25         40          1       0.05       5000
       644         25         40          1       0.01       5000
       645         25         40          2       0.20       5000
       646         25         40          2       0.10       5000
       647         25         40          2       0.05       5000
       648         25         40          2       0.01       5000
       649         25         45          1       0.20       5000
       650         25         45          1       0.10       5000
       651         25         45          1       0.05       5000
       652         25         45          1       0.01       5000
       653         25         45          2       0.20       5000
       654         25         45          2       0.10       5000
       655         25         45          2       0.05       5000
       656         25         45          2       0.01       5000
       657         25         50          1       0.20       5000
       658         25         50          1       0.10       5000
       659         25         50          1       0.05       5000
       660         25         50          1       0.01       5000
       661         25         50          2       0.20       5000
       662         25         50          2       0.10       5000
       663         25         50          2       0.05       5000
       664         25         50          2       0.01       5000
       665         25         55          1       0.20       5000
       666         25         55          1       0.10       5000
       667         25         55          1       0.05       5000
       668         25         55          1       0.01       5000
       669         25         55          2       0.20       5000
       670         25         55          2       0.10       5000
       671         25         55          2       0.05       5000
       672         25         55          2       0.01       5000
       673         25         60          1       0.20       5000
